Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.26640192,0.43818942,0.37182182,0.3725507,30162192,2018-05-22,0-20 cm,30162192,7.5,8.07,16.58,5.9,205,< LOD,0.8,307.1,,,,,ES,ES4,ES41,ES419,41.60109898,-5.720883326,30-05-18,743,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0829671,0.27322406,0.22876143,0.21142608,30162202,2018-05-22,0-20 cm,30162202,4.7,5.27,6.09,3,,18.7,0.5,78.7,,,,,ES,ES4,ES41,ES419,41.68926686,-5.743884114,31-05-18,746,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0014641288,0.12699135,0.05457311,0.05455371,30182218,2018-06-19,0-20 cm,30182218,4.5,5.48,4.3,4.1,,15.4,0.7,67.5,,,0.4,1.0,ES,ES4,ES41,ES419,41.8340612,-5.757266349,18-06-18,787,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.20030406,-0.04546997,-0.15890598,-0.15612316,30202130,2018-07-26,0-20 cm,30202130,7.4,8.08,16.04,8.8,37,12.2,1.1,367.4,,,,,ES,ES4,ES41,ES415,41.06151087,-5.533595991,24-07-18,878,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30202188,2018-05-23,0-20 cm,30202188,7.5,7.74,13.45,5.9,5,19.3,0.8,396.9,,,,,ES,ES4,ES41,ES419,41.57330076,-5.664684318,29-05-18,691,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.11672142,0.069524914,0.009116821,0.0013193546,30202206,2018-06-19,0-20 cm,30202206,4.6,5.43,5.03,5,,21.1,0.7,85.3,,,0.4,0.9,ES,ES4,ES41,ES419,41.73202544,-5.705971388,18-06-18,753,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.32858455,0.49731344,0.4201926,0.4175395,30202248,2018-06-24,0-20 cm,30202248,7.5,8.03,18.75,10.5,5,18.1,1.5,138.3,,,,,ES,ES4,ES41,ES419,42.10218705,-5.803444645,25-06-18,777,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30222214,2018-05-23,0-20 cm,30222214,5.0,6.1,11.32,3.6,,29.9,0.6,135,,,,,ES,ES4,ES41,ES419,41.80629817,-5.700816011,31-05-18,773,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30242218,2018-05-24,0-20 cm,30242218,4.2,4.89,5.89,7.3,,36.2,0.8,155.5,,,,,ES,ES4,ES41,ES419,41.8453026,-5.686432567,31-05-18,769,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.06353926,0.2977997,0.24427333,0.1988183,30282128,2018-06-16,0-20 cm,30282128,5.1,6.03,5.91,7.6,1,40.9,0.9,131.6,,,,,ES,ES4,ES41,ES415,41.05858669,-5.435803982,04-06-18,900,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.01996429,0.32222223,0.24094602,0.22634009,30321990,2018-05-17,0-20 cm,30321990,5.9,6.49,5.43,4,1,16.9,0.6,78.7,,,,,ES,ES4,ES42,ES425,39.84556127,-5.091489722,15-05-18,423,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.23295124,-0.16148409,-0.20725736,-0.20282803,30342192,2018-07-24,0-10 cm,30342192,7.6,8.31,13.01,5.6,114,< LOD,0.9,135.6,,,,,ES,ES4,ES41,ES419,41.63457718,-5.509083343,23-07-18,789,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.072211474,-0.0024995834,-0.027639486,-0.031267956,30382104,2018-07-16,0-20 cm,30382104,4.7,5.43,4.09,6.3,,38.9,0.8,191.6,,,,,ES,ES4,ES41,ES415,40.86481354,-5.266416142,19-07-18,934,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.2751076,-0.10999498,-0.23392925,-0.22310773,30382148,2018-07-16,0-20 cm,30382148,6.8,7.29,10.86,4.9,,27.9,0.7,215.4,,,0.4,0.5,ES,ES4,ES41,ES419,41.25353389,-5.363368626,17-07-18,781,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.18086456,-0.10984523,-0.1308227,-0.13250174,30402106,2018-07-26,0-20 cm,30402106,4.2,5.28,3.73,3.6,,43.1,0.5,73.1,,,0.4,0.7,ES,ES4,ES41,ES415,40.88611818,-5.247506719,19-07-18,942,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30402186,2018-07-22,0-20 cm,30402186,7.4,8.07,16.97,10.9,27,< LOD,1.3,486.3,,,,,ES,ES4,ES41,ES419,41.59268424,-5.424909629,23-07-18,785,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.26737875,-0.16794237,-0.23094842,-0.23186046,30402232,2018-07-29,0-20 cm,30402232,7.4,7.97,6.36,5.9,8,< LOD,0.9,98.3,,,0.4,0.7,ES,ES4,ES41,ES419,41.99851485,-5.529445281,30-07-18,784,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.15070067,-0.087692134,-0.12950374,-0.12744084,30442100,2018-07-26,0-20 cm,30442100,4.5,5.85,3.38,7,,23.7,0.8,79.2,,,,,ES,ES4,ES41,ES415,40.84032057,-5.187890147,19-07-18,982,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.26825127,-0.1884287,-0.22238684,-0.22432193,30462110,2018-07-11,0-20 cm,30462110,5.6,6.53,5.39,4.7,,49.7,0.7,178.4,,,0.6,0.8,ES,ES4,ES41,ES415,40.93233139,-5.186353593,18-07-18,932,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.12879221,0.010197368,-0.08171206,-0.08142039,30462146,2018-06-26,0-20 cm,30462146,4.9,5.98,4.51,5.9,,29.3,0.8,102.1,,,1.0,0.8,ES,ES4,ES41,ES418,41.25045043,-5.265290089,28-06-18,856,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30482104,2018-07-16,0-20 cm,30482104,4.2,5.61,3.12,3,,46.3,0.4,61.9,,,,,ES,ES4,ES41,ES415,40.88289821,-5.150020026,18-07-18,995,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.2069816,-0.10197259,-0.15633705,-0.15857376,30482108,2018-07-11,0-20 cm,30482108,6.5,7.02,5.95,4.2,,24.9,0.5,98.6,,,,,ES,ES4,ES41,ES415,40.91826065,-5.158704037,18-07-18,946,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30482118,2018-06-25,0-20 cm,30482118,6.0,6.91,6.45,6.5,,48.3,0.8,210,,,,,ES,ES4,ES41,ES415,41.006656,-5.180472815,25-06-18,892,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30482176,2018-07-01,0-20 cm,30482176,4.2,5.08,8.18,3.1,,34.9,0.5,89.1,,,,,ES,ES4,ES41,ES419,41.51904717,-5.308407592,02-07-18,762,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.11709689,0.5223351,0.37460583,0.35325015,30483342,2018-07-10,0-20 cm,30483342,6.5,6.86,28.52,27.3,3,47.7,3.3,252.1,,,1.8,5.7,IE,IE0,IE05,IE053,51.71099775,-8.652157827,17-07-18,75,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30502088,2018-07-16,0-20 cm,30502088,4.7,5.91,4.21,7.7,,33,1,104.3,,,,,ES,ES4,ES41,ES411,40.74501503,-5.092180733,20-07-18,1159,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.04040587,0.07120253,0.0,0.009777338,30502124,2018-06-16,0-20 cm,30502124,6.6,7.18,8.13,4.9,1,34.5,0.6,120.8,,,,,ES,ES4,ES41,ES415,41.06329825,-5.170226062,19-06-18,864,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.102342784,-0.059133414,-0.084651165,-0.084389776,30502272,2018-07-29,0-20 cm,30502272,7.4,7.91,19.53,9.6,8,63.8,1.2,170.1,,,,,ES,ES4,ES41,ES413,42.3697196,-5.502804551,31-07-18,836,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.04865772,0.03313509,0.0027049524,-0.002757866,30522162,2018-07-11,0-20 cm,30522162,6.7,7.08,12.07,8,,25.3,1.1,241.9,,,0.6,0.7,ES,ES4,ES41,ES418,41.40267846,-5.230324549,05-07-18,721,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30522274,2018-06-07,0-20 cm,30522274,6.1,6.76,6.63,9.2,1,31.8,1.3,220.9,,,,,ES,ES4,ES41,ES413,42.39104993,-5.483600631,06-06-18,841,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.2489604,-0.17128642,-0.21643558,-0.21723144,30542218,2018-07-16,0-20 cm,30542218,6.8,7.11,12.33,7,,11.4,1.1,107.7,,,,,ES,ES4,ES41,ES419,41.90076008,-5.331921823,16-07-18,747,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.2406234,-0.1919612,-0.22469635,-0.22400135,30582258,2018-07-24,0-20 cm,30582258,7.4,7.78,13.26,5.1,2,11,0.8,96,,,,,ES,ES4,ES41,ES413,42.2610028,-5.375380291,24-07-18,909,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30602264,2018-06-12,0-20 cm,30602264,6.5,7.21,6.52,4.4,1,< LOD,0.7,86.3,,,0.5,3.0,ES,ES4,ES41,ES413,42.31759352,-5.365310241,12-06-18,939,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
,,,,30622150,2018-06-02,0-20 cm,30622150,6.4,6.91,10.77,4.6,,31.3,0.6,139.2,,,,,ES,ES4,ES41,ES418,41.31469819,-5.086641471,07-06-18,797,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.05564388,0.1891327,0.12276479,0.1245121,30642134,2018-06-16,0-20 cm,30642134,6.3,6.65,14.25,3.6,,36.1,0.5,159.9,,,0.8,0.7,ES,ES4,ES41,ES418,41.17684975,-5.028374228,13-06-18,820,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
