Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.11259067,0.44071916,0.23049574,0.23969293,51823768,2018-05-10,0-20 cm,51823768,7.2,7.4,16.03,37.3,19,16.4,3.4,67.2,,,,,LT,LT0,LT02,LT026,56.2577013,23.9845074,09-05-18,43,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.06794237,0.13650657,0.08999382,0.09217105,51824026,2018-06-17,0-20 cm,51824026,6.3,6.84,13.71,24,,15.8,2.5,170.6,,,,,EE,EE0,EE00,EE004,58.52217587,24.87682777,20-06-18,34,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.61988986,0.7570962,0.71374625,0.7083745,51843208,2018-05-27,0-20 cm,51843208,6.8,7.14,34.14,10.4,1,30.7,1.4,145.3,,,,,PL,PL8,PL81,PL814,51.31866978,22.44830481,27-05-18,251,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.6101225,0.7534906,0.6486998,0.66287494,51843214,2018-05-27,0-20 cm,51843214,4.8,5.47,5.79,12.6,,19.5,1.3,79.5,,,,,PL,PL8,PL81,PL814,51.37169531,22.46289622,27-05-18,228,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.061570037,0.09618642,0.07900592,0.07899151,51862582,2018-12-06,0-20 cm,51862582,5.9,6.16,34.6,19.7,1,40.2,2.1,336.1,,,,,RO,RO4,RO42,RO424,45.76607618,21.15224525,06-12-18,84,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.25253978,0.49975055,0.29912466,0.3033814,51863646,2018-06-04,0-20 cm,51863646,7.1,7.85,18.0,19.4,117,< LOD,1.1,105.3,,,0.4,1.5,LT,LT0,LT02,LT022,55.17794592,23.66615851,04-06-18,67,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.5584759,0.81357235,0.68215567,0.68949246,51863808,2018-05-20,0-20 cm,51863808,5.8,6.33,15.5,21,,41.4,2,239.7,,,,,LV,LV0,LV00,LV009,56.60215035,24.17858635,16-05-18,17,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.4223565,0.81324905,0.7148473,0.69350463,51903194,2018-06-09,0-20 cm,51903194,6.3,6.65,17.66,9.7,1,74.6,1.3,267.8,,,,,PL,PL8,PL81,PL814,51.18577117,22.49919824,09-06-18,238,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.09523357,0.11688145,0.10317385,0.103071325,51923710,2018-08-23,0-20 cm,51923710,7.2,7.69,20.29,17.5,8,51,1.9,208.2,,,,,LT,LT0,LT02,LT026,55.7305107,23.95719291,29-08-18,41,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.45562395,0.6629944,0.5810617,0.5785504,51943654,2018-06-04,0-20 cm,51943654,6.8,7.33,15.3,21.4,5,33.8,2.3,88.1,,,0.8,1.1,LT,LT0,LT02,LT022,55.23468125,23.81412937,04-06-18,52,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.3930986,0.56455564,0.50029373,0.49646857,51943738,2018-05-10,0-20 cm,51943738,7.1,7.46,22.3,92,65,21.1,6.3,105.4,,,,,LT,LT0,LT02,LT025,55.97310596,24.07760677,10-05-18,50,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.40844727,0.62191844,0.58116215,0.5781576,51943774,2018-05-10,0-20 cm,51943774,6.6,6.93,57.0,62.9,18,62.5,5.5,228.3,,,,,LV,LV0,LV00,LV009,56.28937039,24.19418929,10-05-18,30,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.11574281,0.14254895,0.12858966,0.12861153,51983700,2018-08-23,0-20 cm,51983700,7.1,7.69,14.15,12,14,25.7,1.1,135.2,,,,,LT,LT0,LT02,LT026,55.63218692,24.01937309,22-08-18,65,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.3725503,0.64312464,0.5752978,0.56963605,51983736,2018-05-10,0-20 cm,51983736,6.5,6.78,12.32,18.6,,11.7,2,137.4,,,0.9,1.7,LT,LT0,LT02,LT025,55.94851681,24.13408631,10-05-18,47,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.26685393,0.66730124,0.40032026,0.41544032,52023612,2018-07-09,0-20 cm,52023612,6.9,7.57,11.36,14.4,3,17.8,1.5,96.4,,,,,LT,LT0,LT02,LT022,54.8515934,23.80923774,10-07-18,89,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
