Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.0,0.52090394,0.0,0.20389672,30202188,2018-05-22,0-20 cm,30202188,7.5,7.74,13.45,5.9,5,19.3,0.8,396.9,,,,,ES,ES4,ES41,ES419,41.57330076,-5.664684318,29-05-18,691,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.06514396,0.10131675,0.0,0.01581788,30202206,2018-06-19,0-20 cm,30202206,4.6,5.43,5.03,5,,21.1,0.7,85.3,,,0.4,0.9,ES,ES4,ES41,ES419,41.73202544,-5.705971388,18-06-18,753,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.51456684,0.3955049,0.23266011,30202248,2018-06-24,0-20 cm,30202248,7.5,8.03,18.75,10.5,5,18.1,1.5,138.3,,,,,ES,ES4,ES41,ES419,42.10218705,-5.803444645,25-06-18,777,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.33561543,0.13113728,0.11135782,30222214,2018-05-22,0-20 cm,30222214,5.0,6.1,11.32,3.6,,29.9,0.6,135,,,,,ES,ES4,ES41,ES419,41.80629817,-5.700816011,31-05-18,773,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.22096774,0.045475475,0.06404402,30242218,2018-05-22,0-20 cm,30242218,4.2,4.89,5.89,7.3,,36.2,0.8,155.5,,,,,ES,ES4,ES41,ES419,41.8453026,-5.686432567,31-05-18,769,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.06741822,0.32214642,0.0,0.11294579,30282128,2018-06-16,0-20 cm,30282128,5.1,6.03,5.91,7.6,1,40.9,0.9,131.6,,,,,ES,ES4,ES41,ES415,41.05858669,-5.435803982,04-06-18,900,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.33970773,0.11245446,0.13160533,30321990,2018-05-17,0-20 cm,30321990,5.9,6.49,5.43,4,1,16.9,0.6,78.7,,,,,ES,ES4,ES42,ES425,39.84556127,-5.091489722,15-05-18,423,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.19773157,0.0,-0.15695298,-0.094699405,30342192,2018-07-24,0-10 cm,30342192,7.6,8.31,13.01,5.6,114,< LOD,0.9,135.6,,,,,ES,ES4,ES41,ES419,41.63457718,-5.509083343,23-07-18,789,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.03713489,0.026415095,0.0,0.0024168103,30382104,2018-07-16,0-20 cm,30382104,4.7,5.43,4.09,6.3,,38.9,0.8,191.6,,,,,ES,ES4,ES41,ES415,40.86481354,-5.266416142,19-07-18,934,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.21039057,0.0,-0.11105491,-0.09097079,30382148,2018-07-16,0-20 cm,30382148,6.8,7.29,10.86,4.9,,27.9,0.7,215.4,,,0.4,0.5,ES,ES4,ES41,ES419,41.25353389,-5.363368626,17-07-18,781,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.12228968,0.0,-0.105987996,-0.059721705,30402106,2018-07-26,0-20 cm,30402106,4.2,5.28,3.73,3.6,,43.1,0.5,73.1,,,0.4,0.7,ES,ES4,ES41,ES415,40.88611818,-5.247506719,19-07-18,942,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.18245435,0.0,-0.13247055,-0.08538399,30402186,2018-07-26,0-20 cm,30402186,7.4,8.07,16.97,10.9,27,< LOD,1.3,486.3,,,,,ES,ES4,ES41,ES419,41.59268424,-5.424909629,23-07-18,785,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.22791928,0.0,-0.18330002,-0.10994362,30402232,2018-07-29,0-20 cm,30402232,7.4,7.97,6.36,5.9,8,< LOD,0.9,98.3,,,0.4,0.7,ES,ES4,ES41,ES419,41.99851485,-5.529445281,30-07-18,784,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.120149605,0.0,-0.08607401,-0.053881418,30442100,2018-07-26,0-20 cm,30442100,4.5,5.85,3.38,7,,23.7,0.8,79.2,,,,,ES,ES4,ES41,ES415,40.84032057,-5.187890147,19-07-18,982,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.20384204,0.0,-0.1795602,-0.101450704,30462110,2018-07-11,0-20 cm,30462110,5.6,6.53,5.39,4.7,,49.7,0.7,178.4,,,0.6,0.8,ES,ES4,ES41,ES415,40.93233139,-5.186353593,18-07-18,932,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.05802424,0.063346304,0.0,-0.014489045,30462146,2018-06-26,0-20 cm,30462146,4.9,5.98,4.51,5.9,,29.3,0.8,102.1,,,1.0,0.8,ES,ES4,ES41,ES418,41.25045043,-5.265290089,28-06-18,856,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.11209355,0.0,-0.08052528,-0.048701655,30482104,2018-07-11,0-20 cm,30482104,4.2,5.61,3.12,3,,46.3,0.4,61.9,,,,,ES,ES4,ES41,ES415,40.88289821,-5.150020026,18-07-18,995,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
